BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,GHG_metric_tons_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Num_NAICS_Codes
336411,Aircraft Manufacturing,43405995587.44,9.835754268176705,6302550559.296288,6302550.559296288,123707087424.204,138899185879.80798,542574944.8429999,145.2,1
336611,Ship Building,22873781109.11,5.183175437597129,3575171987.3538933,3575171.9873538935,70908721438.241,102932014990.99501,347681472.858472,156.3,1
324110,Petroleum Refineries,11679017813.77,2.646453508444338,3336695389.3940887,3336695.3893940886,67738303319.866,24525937408.917,99271651.417045,285.7,1
336414,Guided Missile Manufacturing,25032303640.17,5.672294438566946,3324289923.414576,3324289.923414576,66335604646.45049,72593680556.493,270348879.313836,132.8,1
336992,Armored Vehicle Manufacturing,6565064391.16,1.4876368859257678,909261418.17566,909261.41817566,18053927075.69,20351699612.596,74185227.62010801,138.5,1
541512,Computer Systems Design,12185894166.18,2.761311172211348,470375514.814548,470375.514814548,9992433216.2676,8773843799.6496,34120503.665304,38.6,1
221100,Electric Power,871345381.3199999,0.19744597347409235,446390238.85023594,446390.23885023594,9149126503.859999,16119889554.419998,4530995.982864,512.3,7
237990,Heavy Construction,3501560631.13,0.793450062757739,344553566.10319203,344553.56610319205,6828043230.7035,18208115281.876,148816326.82302502,98.4,1
